Headings,Name,Brand,Price,Old_price
IB Best Sellers,AgriPro Gasoline Chain Saw 58 CC APCS58,AgriPro,"Rs.3,959","Rs.5,850"
IB Best Sellers,POWERWASH High Pressure Cleaner 1500W QL-1800C,POWERWASH,"Rs.4,826","Rs.8,600"
IB Best Sellers,Fulcrum 5 Drawers Tool Trolley FC-6005,Fulcrum,"Rs.14,234","Rs.18,900"
IB Best Sellers,Fulcrum 0.2-40m Laser Distance Meter FC-40A,Fulcrum,"Rs.2,041","Rs.2,800"
IB Best Sellers,Fulcrum 250-1000V Insulation Resistance Tester FC60B+,Fulcrum,"Rs.4,644","Rs.6,300"
IB Best Sellers,PowerHouse 1/2 Inch Impact Wrench 7000 RPM PH320,PowerHouse,"Rs.1,362","Rs.1,850"
IB Best Sellers,PowerHouse 110 mm Marble Cutter 1050W PHMC110,PowerHouse,"Rs.1,288","Rs.1,850"
IB Best Sellers,Fulcrum 1000 Kgs Mini Electric Wire Rope Trolley,Fulcrum,"Rs.5,696","Rs.13,100"
IB Best Sellers,Fulcrum 3 Drawers Tool Cabinet FC-2003,Fulcrum,"Rs.3,992","Rs.6,750"
IB Best Sellers,PowerHouse 50W 12V Polycrystalline Solar Panel PWHP50,PowerHouse,"Rs.1,582","Rs.2,250"
IB Best Sellers,PowerHouse Demolition Breaker 1450 r/min PHDB65,PowerHouse,"Rs.5,486","Rs.7,600"
IB Best Sellers,iFlo Domestic Water motor pump i-Flo1 0.5 HP,iFlo,"Rs.1,550","Rs.3,552"
IB Best Sellers,EGK 13 mm Multipurpose Reversible Power Tool Kit 121 Pcs EGK13IDTK,EGK,"Rs.2,183","Rs.7,626"
IB Best Sellers,NeoSafe Talent Brown A5007 9 Size Airmix Sole Safety Shoes,NeoSafe,Rs.467,Rs.951
IB Best Sellers,Nilkamal Dustbin 82 Litres RFLB80L1,NILKAMAL,"Rs.1,597","Rs.3,354"
IB Best Sellers,IB BASICS Executive Low Back Mesh Chair Buy Two At Price Of One IB-115,IBBASICS,"Rs.4,549","Rs.5,158"
IB Best Sellers,AgriPro Earth Auger with Drill Bit 71 CC APEA71,AgriPro,"Rs.10,861","Rs.18,250"
IB Best Sellers,Fulcrum Digital Moisture Meter 14 mm FC2G+,Fulcrum,"Rs.1,269","Rs.1,750"
